JournalCode	JournalLib	EcritureNum	LigneNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	CompteLibAouX	PieceRef	PieceRefInt	PieceDate	PieceEcheance	EcritureLib	NatureCode	NatureLib	EcritureLet	DateLet	PaiementCode	PaiementLib	ValidDate	CreationDate	CreationHeure	CreationUtilisateur	ModifDate	ModifHeure	ModifUtilisateur	Credit	Debit	Montant	Sens	MontantSigne	Sens	Montantdevise	Idevise	Vide
AB	ABONNEMENTS	11	15188	01/02/2021	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 02 681100	&						01/02/2021	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	11	15189	01/02/2021	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 02 681100	&						01/02/2021	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
AB	ABONNEMENTS	12	15190	01/03/2021	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 03 681100	&						01/03/2021	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	12	15191	01/03/2021	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 03 681100	&						01/03/2021	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
AC	ACHATS	13	10150	01/04/2020	401000	COLLECTIF FOURNISSEURS	00032	SCI	SCI		CAPI	01/04/2020	01/04/2020	FACTURE MAAF	AV	AVOIR	ACV	04/04/2020			01/04/2020	25/02/2022	09:50:57	JM				657,22	0,00	657,22	C	-657,22	-1			
AC	ACHATS	13	10152	01/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES		CAPI	01/04/2020	01/04/2020	FACTURE MAAF	AV	AVOIR					01/04/2020	25/02/2022	09:50:57	JM				0,00	103,07	103,07	D	103,07	+1			
AC	ACHATS	13	10153	01/04/2020	613200	LOCATIONS IMMOBILIERES			LOCATIONS IMMOBILIERES		CAPI	01/04/2020	01/04/2020	FACTURE MAAF	AV	AVOIR					01/04/2020	25/02/2022	09:50:57	JM				0,00	402,62	402,62	D	402,62	+1			
AC	ACHATS	13	10154	01/04/2020	635120	TAXES FONCIERES			TAXES FONCIERES		CAPI	01/04/2020	01/04/2020	FACTURE MAAF	AV	AVOIR					01/04/2020	25/02/2022	09:50:57	JM				0,00	151,53	151,53	D	151,53	+1			
AC	ACHATS	13	10155	01/04/2020	401000	COLLECTIF FOURNISSEURS	00028	MAAF	MAAF		CAPI	01/04/2020	01/04/2020	FACTURE MAAF	FA	FACTURE	AAC	27/04/2020			01/04/2020	25/02/2022	09:50:57	JM				1429,36	0,00	1429,36	C	-1429,36	-1			
AC	ACHATS	13	10156	01/04/2020	616002	ASSURANCES MACIF VEHICULES			ASSURANCES MACIF VEHICULES		CAPI	01/04/2020	03/04/2020	FACTURE MAAF	FA	FACTURE					01/04/2020	25/02/2022	09:50:57	JM				0,00	1429,36	1429,36	D	1429,36	+1			
AC	ACHATS	14	10217	03/04/2020	401000	COLLECTIF FOURNISSEURS	00469	MARVIN	MARVIN	193001	XXXXXXXXX	03/04/2020	03/05/2020	FACTURE MARVIN X	FA	FACTURE	AAR	05/05/2020			03/04/2020	25/02/2022	09:50:57	JM				309,90	0,00	309,90	C	-309,90	-1			
AC	ACHATS	14	10218	03/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	193001	XXXXXXXXX	03/04/2020	03/04/2020	FACTURE MARVIN	FA	FACTURE					03/04/2020	25/02/2022	09:50:57	JM				0,00	246,05	246,05	D	246,05	+1			
AC	ACHATS	14	10219	03/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	193001	XXXXXXXXX	03/04/2020	03/04/2020	FACTURE MARVIN	FA	FACTURE					03/04/2020	25/02/2022	09:50:57	JM				0,00	48,60	48,60	D	48,60	+1			
AC	ACHATS	14	10220	03/04/2020	624100	TRANSPORTS SUR ACHATS			TRANSPORTS SUR ACHATS	193001	XXXXXXXXX	03/04/2020	03/04/2020	FACTURE MARVIN	FA	FACTURE					03/04/2020	25/02/2022	09:50:57	JM				0,00	15,24	15,24	D	15,24	+1			
AC	ACHATS	14	19971	03/04/2020	666100	DIFFERENCES D'ARRONDIS			DIFFERENCES D'ARRONDIS	193001		03/04/2020		Equilibre lot 0000014							03/04/2020	25/02/2022	09:50:57	JM				0,00	0,01	0,01	D	0,01	+1			
AC	ACHATS	15	10225	03/04/2020	401000	COLLECTIF FOURNISSEURS	00256	INGAL	INGAL	483951		03/04/2020	03/05/2020	FACTURE INGAL	FA	FACTURE	AA4	02/05/2020			03/04/2020	25/02/2022	09:50:57	JM				81,72	0,00	81,72	C	-81,72	-1			
AC	ACHATS	15	10226	03/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	483951		03/04/2020	03/05/2020	FACTURE INGAL	FA	FACTURE					03/04/2020	25/02/2022	09:50:57	JM				0,00	53,66	53,66	D	53,66	+1			
AC	ACHATS	15	10227	03/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	483951		03/04/2020	03/05/2020	FACTURE INGAL	FA	FACTURE					03/04/2020	25/02/2022	09:50:57	JM				0,00	12,82	12,82	D	12,82	+1			
AC	ACHATS	15	10228	03/04/2020	624100	TRANSPORTS SUR ACHATS			TRANSPORTS SUR ACHATS	483951		03/04/2020	03/05/2020	FACTURE INGAL	FA	FACTURE					03/04/2020	25/02/2022	09:50:57	JM				0,00	15,24	15,24	D	15,24	+1			
AC	ACHATS	16	10229	03/04/2020	401000	COLLECTIF FOURNISSEURS	00256	INGAL	INGAL	484045		03/04/2020	03/05/2020	FACTURE INGAL	FA	FACTURE	AA4	02/05/2020			03/04/2020	25/02/2022	09:50:57	JM				185,60	0,00	185,60	C	-185,60	-1			
AC	ACHATS	16	10230	03/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	484045		03/04/2020	03/05/2020	FACTURE INGAL	FA	FACTURE					03/04/2020	25/02/2022	09:50:57	JM				0,00	141,24	141,24	D	141,24	+1			
AC	ACHATS	16	10231	03/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	484045		03/04/2020	03/05/2020	FACTURE INGAL	FA	FACTURE					03/04/2020	25/02/2022	09:50:57	JM				0,00	29,11	29,11	D	29,11	+1			
AC	ACHATS	16	10232	03/04/2020	624100	TRANSPORTS SUR ACHATS			TRANSPORTS SUR ACHATS	484045		03/04/2020	03/05/2020	FACTURE INGAL	FA	FACTURE					03/04/2020	25/02/2022	09:50:57	JM				0,00	15,24	15,24	D	15,24	+1			
AC	ACHATS	16	19972	03/04/2020	666100	DIFFERENCES D'ARRONDIS			DIFFERENCES D'ARRONDIS	484045		03/04/2020		Equilibre lot 0000016							03/04/2020	25/02/2022	09:50:57	JM				0,00	0,01	0,01	D	0,01	+1			
AC	ACHATS	17	10375	04/04/2020	401000	COLLECTIF FOURNISSEURS	00082	IBM	IBM	DE0985		04/04/2020	04/05/2020	FACTURE IBM	FA	FACTURE	AEK	20/06/2020			04/04/2020	25/02/2022	09:50:57	JM				1559,62	0,00	1559,62	C	-1559,62	-1			
AC	ACHATS	17	10376	04/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	DE0985		04/04/2020	04/05/2020	FACTURE IBM	FA	FACTURE					04/04/2020	25/02/2022	09:50:57	JM				0,00	1315,03	1315,03	D	1315,03	+1			
AC	ACHATS	17	10377	04/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	DE0985		04/04/2020	04/05/2020	FACTURE IBM	FA	FACTURE					04/04/2020	25/02/2022	09:50:57	JM				0,00	244,60	244,60	D	244,60	+1			
AC	ACHATS	17	19973	04/04/2020	766100	DIFFERENCES D'ARRONDIS			DIFFERENCES D'ARRONDIS	DE0985		04/04/2020		Equilibre lot 0000017							04/04/2020	25/02/2022	09:50:57	JM				0,01	0,00	0,01	C	-0,01	-1			
AC	ACHATS	18	10378	04/04/2020	401000	COLLECTIF FOURNISSEURS	00082	IBM	IBM	DE0986		04/04/2020	04/05/2020	FACTURE IBM	FA	FACTURE	AEK	20/06/2020			04/04/2020	25/02/2022	09:50:57	JM				227,14	0,00	227,14	C	-227,14	-1			
AC	ACHATS	18	10379	04/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	DE0986		04/04/2020	04/05/2020	FACTURE IBM	FA	FACTURE					04/04/2020	25/02/2022	09:50:57	JM				0,00	191,52	191,52	D	191,52	+1			
AC	ACHATS	18	10380	04/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	DE0986		04/04/2020	04/05/2020	FACTURE IBM	FA	FACTURE					04/04/2020	25/02/2022	09:50:57	JM				0,00	35,62	35,62	D	35,62	+1			
AC	ACHATS	19	10381	06/04/2020	401000	COLLECTIF FOURNISSEURS	00462	IBM	IBM	DM0810		06/04/2020	06/05/2020	FACTURE XXXXXXXXXX	FA	FACTURE	AAB	23/05/2020			06/04/2020	25/02/2022	09:50:57	JM				843,00	0,00	843,00	C	-843,00	-1			
AC	ACHATS	19	10382	06/04/2020	218300	MATERIEL INFORMATIQUE			MATERIEL INFORMATIQUE	DM0810		06/04/2020	06/04/2020	FACTURE XXXXXXXXXX	FA	FACTURE					06/04/2020	25/02/2022	09:50:57	JM				0,00	710,79	710,79	D	710,79	+1			
AC	ACHATS	19	10383	06/04/2020	445620	TVA DEDUCTIBLE SUR IMMOS			TVA DEDUCTIBLE SUR IMMOS	DM0810		06/04/2020	06/04/2020	FACTURE XXXXXXXXXX	FA	FACTURE					06/04/2020	25/02/2022	09:50:57	JM				0,00	132,21	132,21	D	132,21	+1			
AC	ACHATS	20	10713	06/04/2020	401000	COLLECTIF FOURNISSEURS	00469	MARVIN	MARVIN	193963		06/04/2020	06/05/2020	FACTURE MARVIN	FA	FACTURE	AAB	16/05/2020			06/04/2020	25/02/2022	09:50:57	JM				2333,83	0,00	2333,83	C	-2333,83	-1			
AC	ACHATS	20	10714	06/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	193963		06/04/2020	06/04/2020	FACTURE MARVIN	FA	FACTURE					06/04/2020	25/02/2022	09:50:57	JM				0,00	1952,57	1952,57	D	1952,57	+1			
AC	ACHATS	20	10715	06/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	193963		06/04/2020	06/04/2020	FACTURE MARVIN	FA	FACTURE					06/04/2020	25/02/2022	09:50:57	JM				0,00	366,01	366,01	D	366,01	+1			
AC	ACHATS	20	10716	06/04/2020	624100	TRANSPORTS SUR ACHATS			TRANSPORTS SUR ACHATS	193963		06/04/2020	06/04/2020	FACTURE MARVIN	FA	FACTURE					06/04/2020	25/02/2022	09:50:57	JM				0,00	15,24	15,24	D	15,24	+1			
AC	ACHATS	20	19974	06/04/2020	666100	DIFFERENCES D'ARRONDIS			DIFFERENCES D'ARRONDIS	193963		06/04/2020		Equilibre lot 0000020							06/04/2020	25/02/2022	09:50:57	JM				0,00	0,01	0,01	D	0,01	+1			
AC	ACHATS	21	10395	06/04/2020	401000	COLLECTIF FOURNISSEURS	00479	GENERAL DI	GENERAL DI	56101		06/04/2020	06/04/2020	FACTURE GENERAL DI	FA	FACTURE	AAA	06/04/2020			06/04/2020	25/02/2022	09:50:57	JM				410,43	0,00	410,43	C	-410,43	-1			
AC	ACHATS	21	10396	06/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	56101		06/04/2020	06/05/2020	FACTURE GENERAL DI	FA	FACTURE					06/04/2020	25/02/2022	09:50:57	JM				0,00	346,06	346,06	D	346,06	+1			
AC	ACHATS	21	10397	06/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	56101		06/04/2020	06/05/2020	FACTURE GENERAL DI	FA	FACTURE					06/04/2020	25/02/2022	09:50:57	JM				0,00	64,37	64,37	D	64,37	+1			
AC	ACHATS	22	10401	07/04/2020	401000	COLLECTIF FOURNISSEURS	00458	MODAL INFO	MODAL INFO	07307		07/04/2020	07/05/2020	FACTURE MODAL INFO	FA	FACTURE	AAN	05/05/2020			07/04/2020	25/02/2022	09:50:57	JM				182,61	0,00	182,61	C	-182,61	-1			
AC	ACHATS	22	10402	07/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	07307		07/04/2020	07/05/2020	FACTURE MODAL INFO	FA	FACTURE					07/04/2020	25/02/2022	09:50:57	JM				0,00	140,25	140,25	D	140,25	+1			
AC	ACHATS	22	10403	07/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	07307		07/04/2020	07/05/2020	FACTURE MODAL INFO	FA	FACTURE					07/04/2020	25/02/2022	09:50:57	JM				0,00	28,64	28,64	D	28,64	+1			
AC	ACHATS	22	10404	07/04/2020	624100	TRANSPORTS SUR ACHATS			TRANSPORTS SUR ACHATS	07307		07/04/2020	07/05/2020	FACTURE MODAL INFO	FA	FACTURE					07/04/2020	25/02/2022	09:50:57	JM				0,00	13,72	13,72	D	13,72	+1			
AC	ACHATS	23	10388	07/04/2020	401000	COLLECTIF FOURNISSEURS	00477	MONDO	MONDO	12368		07/04/2020	07/05/2020	FACTURE MONDO	FA	FACTURE	AAB	11/05/2020			07/04/2020	25/02/2022	09:50:57	JM				1356,40	0,00	1356,40	C	-1356,40	-1			
AC	ACHATS	23	10389	07/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	12368		07/04/2020	07/04/2020	FACTURE MONDO	FA	FACTURE					07/04/2020	25/02/2022	09:50:57	JM				0,00	1129,95	1129,95	D	1129,95	+1			
AC	ACHATS	23	10390	07/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	12368		07/04/2020	07/04/2020	FACTURE MONDO	FA	FACTURE					07/04/2020	25/02/2022	09:50:57	JM				0,00	212,72	212,72	D	212,72	+1			
AC	ACHATS	23	10391	07/04/2020	624100	TRANSPORTS SUR ACHATS			TRANSPORTS SUR ACHATS	12368		07/04/2020	07/04/2020	FACTURE MONDO	FA	FACTURE					07/04/2020	25/02/2022	09:50:57	JM				0,00	13,72	13,72	D	13,72	+1			
AC	ACHATS	23	19975	07/04/2020	666100	DIFFERENCES D'ARRONDIS			DIFFERENCES D'ARRONDIS	12368		07/04/2020		Equilibre lot 0000023							07/04/2020	25/02/2022	09:50:57	JM				0,00	0,01	0,01	D	0,01	+1			
AC	ACHATS	24	10358	07/04/2020	401000	COLLECTIF FOURNISSEURS	00310	RRC	RRC	2076		07/04/2020	07/04/2020	FACTURE RRC	FA	FACTURE	AAQ	11/04/2020			07/04/2020	25/02/2022	09:50:57	JM				203,41	0,00	203,41	C	-203,41	-1			
AC	ACHATS	24	10359	07/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	2076		07/04/2020	07/04/2020	FACTURE RRC	FA	FACTURE					07/04/2020	25/02/2022	09:50:57	JM				0,00	134,16	134,16	D	134,16	+1			
AC	ACHATS	24	10360	07/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	2076		07/04/2020	07/04/2020	FACTURE RRC	FA	FACTURE					07/04/2020	25/02/2022	09:50:57	JM				0,00	31,90	31,90	D	31,90	+1			
AC	ACHATS	24	10361	07/04/2020	624100	TRANSPORTS SUR ACHATS			TRANSPORTS SUR ACHATS	2076		07/04/2020	07/04/2020	FACTURE RRC	FA	FACTURE					07/04/2020	25/02/2022	09:50:57	JM				0,00	37,35	37,35	D	37,35	+1			
AC	ACHATS	25	10362	11/04/2020	401000	COLLECTIF FOURNISSEURS	00462	IBM	IBM	D46154		11/04/2020	26/04/2020	FACTURE IBM	FA	FACTURE	AAB	23/05/2020			11/04/2020	25/02/2022	09:50:57	JM				492,51	0,00	492,51	C	-492,51	-1			
AC	ACHATS	25	10363	11/04/2020	615510	ENT. S/MATERIEL EXPL.			ENT. S/MATERIEL EXPL.	D46154		11/04/2020	11/04/2020	FACTURE IBM	FA	FACTURE					11/04/2020	25/02/2022	09:50:57	JM				0,00	415,27	415,27	D	415,27	+1			
AC	ACHATS	25	10364	11/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	D46154		11/04/2020	11/04/2020	FACTURE IBM	FA	FACTURE					11/04/2020	25/02/2022	09:50:57	JM				0,00	77,24	77,24	D	77,24	+1			
AC	ACHATS	26	10371	12/04/2020	401000	COLLECTIF FOURNISSEURS	00172	OMNIPHOT	OMNIPHOT	02379		12/04/2020	12/05/2020	FACTURE OMNIPHOT	FA	FACTURE	AAE	10/08/2020			12/04/2020	25/02/2022	09:50:57	JM				160,55	0,00	160,55	C	-160,55	-1			
AC	ACHATS	26	10372	12/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	02379		12/04/2020	12/05/2020	FACTURE OMNIPHOT	FA	FACTURE					12/04/2020	25/02/2022	09:50:57	JM				0,00	117,08	117,08	D	117,08	+1			
AC	ACHATS	26	10373	12/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	02379		12/04/2020	12/05/2020	FACTURE OMNIPHOT	FA	FACTURE					12/04/2020	25/02/2022	09:50:57	JM				0,00	25,18	25,18	D	25,18	+1			
AC	ACHATS	26	10374	12/04/2020	624100	TRANSPORTS SUR ACHATS			TRANSPORTS SUR ACHATS	02379		12/04/2020	12/05/2020	FACTURE OMNIPHOT	FA	FACTURE					12/04/2020	25/02/2022	09:50:57	JM				0,00	18,29	18,29	D	18,29	+1			
AC	ACHATS	27	10552	12/04/2020	401000	COLLECTIF FOURNISSEURS	00053	AVAR SYSTE	AVAR SYSTE	7235		12/04/2020	12/05/2020	FACTURE AVAR SYSTE	FA	FACTURE	AB2	20/06/2020			12/04/2020	25/02/2022	09:50:57	JM				470,09	0,00	470,09	C	-470,09	-1			
AC	ACHATS	27	10553	12/04/2020	607000	ACHATS MARCHANDISES			ACHATS MARCHANDISES	7235		12/04/2020	12/05/2020	FACTURE AVAR SYSTE	FA	FACTURE					12/04/2020	25/02/2022	09:50:57	JM				0,00	396,37	396,37	D	396,37	+1			
AC	ACHATS	27	10554	12/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES	7235		12/04/2020	12/05/2020	FACTURE AVAR SYSTE	FA	FACTURE					12/04/2020	25/02/2022	09:50:57	JM				0,00	73,72	73,72	D	73,72	+1			
AC	ACHATS	28	10549	13/04/2020	401000	COLLECTIF FOURNISSEURS	00079	TELEPHONE	TELEPHONE			13/04/2020	03/05/2020	FACTURE TELEPHONE	FA	FACTURE	ACL	04/05/2020			13/04/2020	25/02/2022	09:50:57	JM				74,50	0,00	74,50	C	-74,50	-1			
AC	ACHATS	28	10550	13/04/2020	626202	FRAIS TELEPHONE  ET FAX TELECOM			FRAIS TELEPHONE  ET FAX TELECOM			13/04/2020	13/04/2020	FACTURE TELEPHONE	FA	FACTURE					13/04/2020	25/02/2022	09:50:57	JM				0,00	62,82	62,82	D	62,82	+1			
AC	ACHATS	28	10551	13/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES			13/04/2020	13/04/2020	FACTURE TELEPHONE	FA	FACTURE					13/04/2020	25/02/2022	09:50:57	JM				0,00	11,68	11,68	D	11,68	+1			
AC	ACHATS	29	10662	14/04/2020	401000	COLLECTIF FOURNISSEURS	00067	PUBLIJOB	PUBLIJOB			14/04/2020	14/04/2020	FACTURE PUBLIJOB	FA	FACTURE	AAA	14/04/2020			14/04/2020	25/02/2022	09:50:57	JM				61,66	0,00	61,66	C	-61,66	-1			
AC	ACHATS	29	10663	14/04/2020	623100	PUBLICITE ANNONCES INSER.			PUBLICITE ANNONCES INSER.			14/04/2020	14/04/2020	FACTURE PUBLIJOB	FA	FACTURE					14/04/2020	25/02/2022	09:50:57	JM				0,00	51,99	51,99	D	51,99	+1			
AC	ACHATS	29	10664	14/04/2020	445660	TVA DEDUCTIBLE BIENS ET SERVICES			TVA DEDUCTIBLE BIENS ET SERVICES			14/04/2020	14/04/2020	FACTURE PUBLIJOB	FA	FACTURE					14/04/2020	25/02/2022	09:50:57	JM				0,00	9,67	9,67	D	9,67	+1			
AC	ACHATS	30	10558	14/04/2020	401000	COLLECTIF FOURNISSEURS	00412	GARAGE	GARAGE	3		14/04/2020	14/04/2020	FACTURE GARAGE	FA	FACTURE	AAB	24/04/2020			14/04/2020	25/02/2022	09:50:57	JM				126,68	0,00	126,68	C	-126,68	-1			
AC	ACHATS	30	10559	14/04/2020	615520	ENT. S/MATERIEL ROULANT			ENT. S/MATERIEL ROULANT	3		14/04/2020	14/04/2020	FACTURE GARAGE	FA	FACTURE					14/04/2020	25/02/2022	09:50:57	JM				0,00	126,68	126,68	D	126,68	+1			
AC	ACHATS	31	10545	18/04/2020	401000	COLLECTIF FOURNISSEURS	00172	OMNIPHOT	OMNIPHOT	03416		18/04/2020	18/05/2020	FACTURE OMNIPHOT	FA	FACTURE	AAD	22/06/2020			18/04/2020	25/02/2022	09:50:57	JM				181,71	0,00	181,71	C	-181,71	-1			
